genename	familyname
Bradi4g41570	C2C2-GATA
Bradi1g06670	bHLH
Bradi3g50160	C2C2-GATA
Bradi1g35920	C3H
Bradi4g29830	ZIM
Bradi5g17490	AP2-EREBP
Bradi3g41470	NAC
Bradi5g08167	CAMTA
Bradi1g53660	Alfin-like
Bradi1g72600	ZIM
Bradi4g42167	ABI3-VP1
Bradi4g38930	AP2-EREBP
Bradi1g69890	MADS
Bradi3g57710	WRKY
Bradi1g67500	bHLH
Bradi1g11310	C2C2-CO-like
Bradi2g21820	bZIP
Bradi1g42720	C3H
Bradi5g27610	Orphans
Bradi5g10950	ARF
Bradi1g52240	GRAS
Bradi2g57000	MADS
Bradi2g05234	WRKY
Bradi2g03617	Orphans
Bradi5g26240	C2C2-Dof
Bradi2g25580	SBP
Bradi4g03000	ABI3-VP1
Bradi5g13450	NAC
Bradi4g38790	Orphans
Bradi4g30360	WRKY
Bradi4g41430	TCP
Bradi2g11080	MYB
Bradi3g46110	Alfin-like
Bradi4g33000	C2C2-Dof
Bradi3g56917	MYB
Bradi4g16840	CCAAT
Bradi1g58450	TCP
Bradi2g25380	G2-like
Bradi4g34350	bHLH
Bradi1g35000	MADS
Bradi4g34157	NAC
Bradi5g27467	NAC
Bradi4g24867	GRAS
Bradi2g13560	GRAS
Bradi2g23330	MYB-related
Bradi1g28920	G2-like
Bradi5g23300	NLP
Bradi1g63630	NAC
Bradi3g57240	Orphans
Bradi3g36670	NAC
Bradi3g10067	MYB
Bradi1g11060	TCP
Bradi5g18850	AP2-EREBP
Bradi3g34240	JUMONJI
Bradi5g27517	PHD
Bradi2g62697	PHD
Bradi2g58130	JUMONJI
Bradi1g08727	PHD
Bradi4g08510	PHD
Bradi3g36180	JUMONJI
Bradi3g06727	PHD
Bradi5g26110	MYB-related
Bradi2g57335	C3H
Bradi1g17210	bZIP
Bradi2g44035	WRKY
Bradi4g33290	CCAAT
Bradi1g00607	Orphans
Bradi4g31240	ZIM
Bradi4g43330	NAC
Bradi1g36750	bZIP
Bradi1g31280	C2C2-CO-like
Bradi2g05700	NAC
Bradi4g32060	bHLH
Bradi1g51257	Homeobox
Bradi3g43310	ARID
Bradi1g31700	bZIP
Bradi2g08600	NLP
Bradi4g15720	ZIM
Bradi2g22800	Orphans
Bradi5g20700	WRKY
Bradi2g05590	MYB-related
Bradi5g10470	ZF-HD
Bradi3g54720	C2C2-GATA
Bradi4g13570	NAC
Bradi3g46680	EIL
Bradi3g33680	NAC
Bradi1g17440	NAC
Bradi3g33957	NAC
Bradi2g40580	bZIP
Bradi3g53560	Orphans
Bradi1g02410	C2H2
Bradi1g08326	MADS
Bradi3g18070	AP2-EREBP
Bradi1g14600	bHLH
Bradi1g37540	bHLH
Bradi2g22440	WRKY
Bradi5g12440	MADS
Bradi1g13980	bHLH
Bradi3g02980	bZIP
Bradi1g18400	bHLH
Bradi3g39177	MADS
Bradi1g13422	MYB-related
Bradi1g43990	C2C2-CO-like
Bradi3g13570	MADS
Bradi3g51650	C3H
Bradi1g20197	Orphans
Bradi1g35990	bHLH
Bradi1g17510	C3H
Bradi2g24110	TUB
Bradi3g37360	MYB
Bradi2g45530	AP2-EREBP
Bradi3g48880	Orphans
Bradi3g46920	MADS
Bradi1g77020	MADS
Bradi4g24967	Orphans
Bradi2g56910	GRAS
Bradi1g72300	MYB-related
Bradi4g35570	AP2-EREBP
Bradi2g57100	NAC
Bradi3g13300	bHLH
Bradi4g03970	MYB
Bradi5g14740	NAC
Bradi1g48580	NAC
Bradi3g05800	C2C2-CO-like
Bradi4g03867	GRAS
Bradi2g11890	AP2-EREBP
Bradi2g58030	ABI3-VP1
Bradi2g18220	Orphans
Bradi3g56290	bZIP
Bradi1g63780	EIL
Bradi2g40620	MYB
Bradi1g73190	Homeobox
Bradi1g32977	C3H
Bradi4g45330	Orphans
Bradi2g58390	ABI3-VP1
Bradi1g47562	MYB-related
Bradi1g43470	CCAAT
Bradi2g11430	MYB
Bradi3g00730	MADS
Bradi1g57420	MADS
Bradi3g40240	SBP
Bradi3g03747	Homeobox
Bradi3g18807	ABI3-VP1
Bradi1g58057	NAC
Bradi1g04110	AP2-EREBP
Bradi1g19900	HSF
Bradi4g31016	ARID
Bradi3g03295	Orphans
Bradi5g12127	EIL
Bradi5g24700	AP2-EREBP
Bradi2g04790	BZR
Bradi2g16520	C3H
Bradi1g10470	MYB
Bradi3g39970	EIL
Bradi1g51747	MYB
Bradi2g33540	WRKY
Bradi1g07936	bHLH
Bradi5g01920	E2F-DP
Bradi4g30090	MADS
Bradi3g33320	NAC
Bradi1g48400	bHLH
Bradi2g45000	Homeobox
Bradi5g08650	ZIM
Bradi1g06350	Orphans
Bradi5g18590	G2-like
Bradi1g24940	Orphans
Bradi4g30177	NAC
Bradi1g52360	Orphans
Bradi1g46160	GeBP
Bradi2g53060	bZIP
Bradi5g21010	NAC
Bradi1g30810	Orphans
Bradi1g72450	AP2-EREBP
Bradi3g58220	MADS
Bradi5g17640	AP2-EREBP
Bradi3g06870	MYB-related
Bradi3g49440	Orphans
Bradi5g26100	ABI3-VP1
Bradi4g40480	Orphans
Bradi4g33770	SBP
Bradi1g63570	C3H
Bradi3g45450	MYB-related
Bradi3g18800	Homeobox
Bradi3g46320	Homeobox
Bradi3g55730	Orphans
Bradi4g33670	bHLH
Bradi3g11520	bHLH
Bradi2g54787	G2-like
Bradi4g45290	WRKY
Bradi3g02800	BZR
Bradi3g08967	BZR
Bradi2g09177	C3H
Bradi3g12470	NAC
Bradi1g30750	bZIP
Bradi3g03170	NLP
Bradi5g18717	Homeobox
Bradi3g17350	CCAAT
Bradi3g09160	G2-like
Bradi1g54180	bZIP
Bradi4g39630	bZIP
Bradi3g16360	C3H
Bradi1g63680	Homeobox
Bradi3g01901	bHLH
Bradi1g34060	Orphans
Bradi2g13860	MYB-related
Bradi1g11090	GRAS
Bradi4g43877	AP2-EREBP
Bradi4g02670	bHLH
Bradi1g35180	JUMONJI
Bradi1g55990	PHD
Bradi3g53567	PHD
Bradi3g01060	JUMONJI
Bradi1g64740	PHD
Bradi3g39457	JUMONJI
Bradi3g06720	PHD
Bradi1g05247	PHD
Bradi3g03770	Orphans
Bradi5g10640	NAC
Bradi5g14600	C2C2-CO-like
Bradi5g14950	NAC
Bradi3g17820	CCAAT
Bradi1g14490	ABI3-VP1
Bradi4g33870	C3H
Bradi2g56867	Orphans
Bradi4g26520	GRAS
Bradi1g37720	HSF
Bradi3g33410	Homeobox
Bradi3g57567	Homeobox
Bradi1g12650	GRF
Bradi1g69207	AP2-EREBP
Bradi1g23060	GRAS
Bradi2g47367	MYB
Bradi1g33410	MYB-related
Bradi3g17990	CCAAT
Bradi1g47690	WRKY
Bradi5g26800	CCAAT
Bradi3g58360	bHLH
Bradi4g12615	bHLH
Bradi1g22960	bHLH
Bradi2g21290	CCAAT
Bradi4g06010	CCAAT
Bradi3g52790	bHLH
Bradi2g02720	AP2-EREBP
Bradi2g08177	NLP
Bradi4g09900	MYB
Bradi4g19060	WRKY
Bradi1g69900	C2C2-YABBY
Bradi4g32737	Homeobox
Bradi2g41390	bHLH
Bradi1g33160	ARF
Bradi3g38510	bHLH
Bradi3g54640	bHLH
Bradi1g07970	WRKY
Bradi3g10730	G2-like
Bradi1g03620	GRAS
Bradi2g53260	NAC
Bradi3g28970	Homeobox
Bradi1g01640	NAC
Bradi4g42780	Orphans
Bradi1g12330	ZIM
Bradi4g08220	MYB
Bradi3g15380	Orphans
Bradi2g54720	WRKY
Bradi2g05760	MYB-related
Bradi1g09170	WRKY
Bradi2g00740	bHLH
Bradi3g04920	ARF
Bradi2g46320	Trihelix
Bradi2g05510	WRKY
Bradi2g17982	MYB
Bradi3g29940	C2C2-Dof
Bradi3g08280	bHLH
Bradi3g36710	G2-like
Bradi1g62420	Orphans
Bradi2g48580	ABI3-VP1
Bradi2g60030	CCAAT
Bradi3g06810	Orphans
Bradi1g71280	Homeobox
Bradi1g18870	AP2-EREBP
Bradi1g17680	ABI3-VP1
Bradi4g30617	AP2-EREBP
Bradi5g13090	WRKY
Bradi4g02570	bZIP
Bradi1g47480	AP2-EREBP
Bradi1g36770	Homeobox
Bradi4g39420	MADS
Bradi3g10737	Orphans
Bradi1g43900	bZIP
Bradi1g14467	NAC
Bradi3g12680	AP2-EREBP
Bradi3g48070	bHLH
Bradi3g18910	Orphans
Bradi1g55550	ARID
Bradi1g73020	ZF-HD
Bradi3g38200	bZIP
Bradi1g40407	CPP
Bradi5g24710	AP2-EREBP
Bradi3g18580	WRKY
Bradi3g51840	ABI3-VP1
Bradi3g44700	HSF
Bradi3g50220	Homeobox
Bradi5g03882	MYB
Bradi3g31600	AP2-EREBP
Bradi5g17620	AP2-EREBP
Bradi5g20520	G2-like
Bradi3g19610	Orphans
Bradi2g08810	GeBP
Bradi2g54640	MYB
Bradi4g41200	NAC
Bradi3g05270	CCAAT
Bradi4g31040	AP2-EREBP
Bradi3g09740	Orphans
Bradi2g35057	C2C2-GATA
Bradi2g38150	Orphans
Bradi3g40437	ARF
Bradi2g26320	MADS
Bradi1g24747	Orphans
Bradi1g26170	Orphans
Bradi4g09490	MYB-related
Bradi3g05380	Orphans
Bradi5g08380	AP2-EREBP
Bradi3g00300	bZIP
Bradi1g58520	NAC
Bradi4g36587	bZIP
Bradi1g37900	NAC
Bradi3g17800	CCAAT
Bradi5g16127	Orphans
Bradi1g03900	Alfin-like
Bradi3g59740	E2F-DP
Bradi5g24360	AP2-EREBP
Bradi1g78230	GRAS
Bradi1g67340	GRAS
Bradi2g49620	C2C2-GATA
Bradi3g06120	ARR-B
Bradi2g23530	Homeobox
Bradi2g57747	AP2-EREBP
Bradi5g11350	Orphans
Bradi1g12690	Homeobox
Bradi3g27970	Orphans
Bradi4g33750	EIL
Bradi2g06400	BZR
Bradi1g34507	C3H
Bradi4g09197	GRAS
Bradi2g22940	CCAAT
Bradi2g37650	Homeobox
Bradi2g42240	MYB-related
Bradi4g28280	WRKY
Bradi1g54070	bHLH
Bradi5g25157	ARF
Bradi1g52187	NAC
Bradi3g07450	AP2-EREBP
Bradi4g39137	C3H
Bradi4g27607	G2-like
Bradi1g43590	PHD
Bradi1g74997	JUMONJI
Bradi4g11440	JUMONJI
Bradi2g47867	Orphans
Bradi1g20586	MYB
Bradi3g38250	bHLH
Bradi3g58092	Orphans
Bradi3g04880	MADS
Bradi2g24040	C2C2-Dof
Bradi1g16490	Orphans
Bradi4g07527	NAC
Bradi3g46200	bHLH
Bradi3g43000	Orphans
Bradi1g17410	C2C2-Dof
Bradi1g35420	AP2-EREBP
Bradi2g05950	bHLH
Bradi3g19890	Orphans
Bradi2g57800	bHLH
Bradi1g58087	MYB
Bradi3g41260	MADS
Bradi3g22040	bZIP
Bradi2g54170	Orphans
Bradi2g19070	WRKY
Bradi4g04720	bZIP
Bradi2g12950	Orphans
Bradi3g10190	CPP
Bradi1g08340	MADS
Bradi3g32140	ABI3-VP1
Bradi2g03830	bHLH
Bradi2g09340	C3H
Bradi3g51510	C2C2-Dof
Bradi1g46602	ARF
Bradi4g29370	bHLH
Bradi1g43840	NAC
Bradi1g77120	AP2-EREBP
Bradi2g09720	C2C2-Dof
Bradi4g36210	MYB
Bradi5g12417	MYB
Bradi1g30480	Orphans
Bradi1g01300	CCAAT
Bradi3g13710	Orphans
Bradi1g17400	G2-like
Bradi1g64060	bZIP
Bradi3g28830	MYB
Bradi2g20590	NAC
Bradi1g63600	NAC
Bradi1g29680	MYB-related
Bradi3g06190	Orphans
Bradi4g27850	AP2-EREBP
Bradi3g21460	bHLH
Bradi5g10777	Orphans
Bradi1g70860	bHLH
Bradi5g27290	C2H2
Bradi5g20130	MYB
Bradi4g09890	WRKY
Bradi1g05480	bZIP
Bradi1g68560	bZIP
Bradi3g33340	Orphans
Bradi4g23270	ABI3-VP1
Bradi2g50220	bZIP
Bradi4g35760	Homeobox
Bradi2g56140	AP2-EREBP
Bradi5g19380	MYB-related
Bradi3g29440	Orphans
Bradi1g61160	MYB
Bradi4g01547	TCP
Bradi3g06950	C3H
Bradi2g14340	Orphans
Bradi3g11030	Orphans
Bradi3g57300	MYB-related
Bradi2g05840	Orphans
Bradi4g18890	SBP
Bradi3g57360	AP2-EREBP
Bradi2g58020	ARR-B
Bradi3g18977	MYB
Bradi1g08710	Orphans
Bradi2g05680	Orphans
Bradi4g17410	ARF
Bradi4g27620	G2-like
Bradi4g43010	NAC
Bradi1g11800	CCAAT
Bradi3g44470	AP2-EREBP
Bradi1g32070	GRAS
Bradi1g70067	ABI3-VP1
Bradi1g31390	SBP
Bradi2g48690	MADS
Bradi2g53760	WRKY
Bradi1g68730	C2H2
Bradi3g45930	Orphans
Bradi1g21372	CAMTA
Bradi3g37810	Homeobox
Bradi3g36370	MYB
Bradi5g24410	ZIM
Bradi1g32050	Orphans
Bradi5g13300	NAC
Bradi4g06867	MADS
Bradi1g26440	Orphans
Bradi3g38890	bHLH
Bradi3g09570	C3H
Bradi4g42180	NAC
Bradi4g23640	NAC
Bradi2g28020	NAC
Bradi3g41950	bHLH
Bradi3g59410	NLP
Bradi4g09235	GRAS
Bradi2g53010	MYB
Bradi3g50830	Orphans
Bradi2g53510	WRKY
Bradi2g57200	AP2-EREBP
Bradi2g48907	WRKY
Bradi3g36590	TCP
Bradi1g49260	Orphans
Bradi1g14530	ABI3-VP1
Bradi2g26500	Orphans
Bradi2g19960	TUB
Bradi3g49970	MYB
Bradi1g74350	HSF
Bradi5g00770	Orphans
Bradi2g46527	E2F-DP
Bradi4g03070	bHLH
Bradi3g50300	Orphans
Bradi1g18580	AP2-EREBP
Bradi5g15904	ARF
Bradi1g36180	GRAS
Bradi1g74060	Homeobox
Bradi3g15670	CCAAT
Bradi4g01820	CCAAT
Bradi2g60850	Orphans
Bradi4g40250	Orphans
Bradi2g23310	MYB-related
Bradi3g06070	WRKY
Bradi1g08470	MYB-related
Bradi3g58770	MYB
Bradi4g35610	AP2-EREBP
Bradi4g35590	AP2-EREBP
Bradi1g29247	ARID
Bradi4g06137	PHD
Bradi2g38030	PHD
Bradi3g36110	PHD
Bradi5g23340	bZIP
Bradi1g14560	ABI3-VP1
Bradi2g15877	WRKY
Bradi5g15587	NAC
Bradi2g12590	C2C2-GATA
Bradi1g00670	AP2-EREBP
Bradi3g32090	MADS
Bradi2g15800	CCAAT
Bradi3g60557	Orphans
Bradi3g38680	Trihelix
Bradi5g02310	C3H
Bradi1g17480	NAC
Bradi1g60817	CAMTA
Bradi2g52590	bZIP
Bradi3g35560	AP2-EREBP
Bradi1g57607	Homeobox
Bradi4g00810	bZIP
Bradi5g08980	Trihelix
Bradi2g62660	C2C2-GATA
Bradi3g14590	bHLH
Bradi5g17720	SBP
Bradi3g51800	MADS
Bradi3g39340	WRKY
Bradi1g72960	CCAAT
Bradi1g19820	Orphans
Bradi3g17170	MYB-related
Bradi2g50190	TCP
Bradi1g45220	TCP
Bradi4g08050	C3H
Bradi2g61760	NLP
Bradi5g03720	Orphans
Bradi4g24740	TUB
Bradi4g40230	Alfin-like
Bradi2g03467	NAC
Bradi3g60870	bZIP
Bradi3g45360	bHLH
Bradi4g30350	bHLH
Bradi3g35850	Homeobox
Bradi3g45850	Orphans
Bradi1g32370	G2-like
Bradi2g48057	ABI3-VP1
Bradi5g18960	Orphans
Bradi3g41510	bHLH
Bradi3g41546	AP2-EREBP
Bradi1g44177	Orphans
Bradi2g06180	AP2-EREBP
Bradi3g56340	bHLH
Bradi5g25320	G2-like
Bradi1g55710	CPP
Bradi5g25760	C3H
Bradi3g04380	AP2-EREBP
Bradi2g24987	NAC
Bradi4g01887	Homeobox
Bradi5g10320	GRAS
Bradi2g45567	bZIP
Bradi3g50360	WRKY
Bradi4g44930	G2-like
Bradi2g18980	HSF
Bradi2g11676	MYB
Bradi4g37147	NLP
Bradi2g23320	MYB-related
Bradi2g21430	Orphans
Bradi3g04450	WHIRLY
Bradi1g50240	ABI3-VP1
Bradi1g58830	G2-like
Bradi2g47820	MYB-related
Bradi2g57297	NAC
Bradi3g13630	NAC
Bradi2g47220	AP2-EREBP
Bradi5g24100	AP2-EREBP
Bradi2g48990	HSF
Bradi1g23756	AP2-EREBP
Bradi2g46770	MYB
Bradi3g46570	C2H2
Bradi4g09567	MYB
Bradi1g12780	bHLH
Bradi3g34930	CCAAT
Bradi1g36200	NAC
Bradi2g33270	C3H
Bradi3g49660	TCP
Bradi2g50370	C2C2-Dof
Bradi2g21450	Orphans
Bradi2g21407	G2-like
Bradi1g63170	bZIP
Bradi2g31480	AP2-EREBP
Bradi5g06620	bHLH
Bradi1g28727	Orphans
Bradi2g61050	bHLH
Bradi1g45510	MYB
Bradi1g31200	Orphans
Bradi1g35790	bZIP
Bradi2g15670	C3H
Bradi1g39927	MADS
Bradi2g28910	MYB
Bradi1g24390	NAC
Bradi1g71930	Homeobox
Bradi2g14890	C2C2-GATA
Bradi3g04370	AP2-EREBP
Bradi3g37930	GeBP
Bradi1g21980	MADS
Bradi1g34470	G2-like
Bradi1g46690	AP2-EREBP
Bradi1g49980	BBR/BPC
Bradi1g69190	bHLH
Bradi2g24120	bZIP
Bradi2g24940	MADS
Bradi3g06170	Homeobox
Bradi3g08240	C2C2-GATA
Bradi3g60120	AP2-EREBP
Bradi4g00740	Homeobox
Bradi4g01360	Orphans
Bradi4g26670	bZIP
Bradi4g43680	GRAS
Bradi1g62390	TUB
Bradi1g76340	NLP
Bradi5g05110	bHLH
Bradi5g27400	ARF
Bradi2g57280	Alfin-like
Bradi2g18640	Orphans
Bradi2g21880	G2-like
Bradi1g05430	bHLH
Bradi1g68510	MYB-related
Bradi2g59120	MADS
Bradi2g54670	GRAS
Bradi2g60970	bHLH
Bradi1g03270	C3H
Bradi5g22570	Homeobox
Bradi1g71810	CAMTA
Bradi2g58630	bHLH
Bradi2g37980	Orphans
Bradi4g34870	bHLH
Bradi1g20830	C2C2-GATA
Bradi3g02220	PHD
Bradi1g10680	PHD
Bradi5g17460	PHD
